Fold,Case,ET Dice,TC Dice,WT Dice,ET HD95,TC HD95,WT HD95
0,BraTS-PED-00002-000-t1c,0.6295379400253296,0.228528,0.90467435,3.1622776985168457,10.488088607788086,9.110434
0,BraTS-PED-00008-000-t1c,0.0,0.11592841,0.87966764,373.0,15.779733657836914,3.0
0,BraTS-PED-00023-000-t1c,1.0,0.030414589,0.93404776,373.0,42.28533935546875,3.6055512
0,BraTS-PED-00025-000-t1c,0.9523923397064208,0.9573991,0.92387134,1.0,2.8284270763397217,4.582576
0,BraTS-PED-00040-000-t1c,0.806950032711029,0.79298836,0.90629077,7.280109882354736,7.549834251403809,3.6055512
0,BraTS-PED-00046-000-t1c,0.8890184760093689,0.90017015,0.9106669,5.0,9.110433578491213,64.854836
0,BraTS-PED-00051-000-t1c,1.0,0.0,0.35614702,373.0,373.0,25.23886
0,BraTS-PED-00061-000-t1c,0.8466935753822327,0.5003462,0.9420519,3.605551242828369,13.34166431427002,1.7320508
0,BraTS-PED-00079-000-t1c,1.0,0.20294032,0.8958915,373.0,15.16575050354004,6.708204
0,BraTS-PED-00081-000-t1c,0.4706546366214752,0.21562581,0.2839891,6.519089698791504,19.23278045654297,70.48262
0,BraTS-PED-00083-000-t1c,0.7833003997802734,0.44879302,0.9236902,7.190196990966797,16.724225997924805,3.1622777
0,BraTS-PED-00086-000-t1c,0.0,0.017166007,0.85041,57.432373046875,32.202484130859375,10.0
0,BraTS-PED-00109-000-t1c,0.8694115281105042,0.5365676,0.91610307,5.656854152679443,17.0,6.4031243
0,BraTS-PED-00111-000-t1c,0.1910657584667205,0.8008276,0.9157293,22.26990509033203,6.7082037925720215,5.3851647
0,BraTS-PED-00120-000-t1c,0.7802574634552002,0.87044084,0.8134914,2.0,4.4721360206604,6.4031243
0,BraTS-PED-00123-000-t1c,0.6985743641853333,0.152,0.8000295,2.544224262237549,19.393299102783203,6.164414
0,BraTS-PED-00131-000-t1c,1.0,0.18275478,0.9339033,373.0,19.39072036743164,2.236068
0,BraTS-PED-00135-000-t1c,0.0,0.07729947,0.802849,373.0,29.086078643798828,13.453624
0,BraTS-PED-00143-000-t1c,0.5958651304244995,0.6828139,0.89742535,4.123105525970459,15.42724895477295,3.7416575
0,BraTS-PED-00170-000-t1c,0.3323715627193451,0.46072844,0.83340794,29.883106231689453,20.46949005126953,17.717232
1,BraTS-PED-00009-000-t1c,0.0,0.0,0.22518231,373.0,373.0,34.713108
1,BraTS-PED-00021-000-t1c,0.0358368270099163,0.062407665,0.7049859,24.82738876342773,30.787973403930664,45.37841
1,BraTS-PED-00024-000-t1c,0.3265822827816009,0.18624601,0.53294146,17.916473388671875,30.773365020751957,26.70206
1,BraTS-PED-00036-000-t1c,1.0,3.7086487e-05,0.77033794,373.0,40.12729263305664,10.242055
1,BraTS-PED-00037-000-t1c,0.842403769493103,0.72229654,0.8353803,6.4031243324279785,7.071067810058594,6.6482368
1,BraTS-PED-00055-000-t1c,0.0,0.0,0.1345661,373.0,373.0,29.410883
1,BraTS-PED-00060-000-t1c,0.25,0.0022392457,0.9408457,18.72405815124512,28.903284072875977,2.0
1,BraTS-PED-00063-000-t1c,0.8271530270576477,0.4761293,0.76742,13.152946472167969,19.02629852294922,8.5440035
1,BraTS-PED-00067-000-t1c,0.2991270720958709,0.24727288,0.89201313,7.0,21.23676109313965,5.0990195
1,BraTS-PED-00078-000-t1c,0.0,0.41698515,0.8191973,373.0,8.062257766723633,8.774964
1,BraTS-PED-00084-000-t1c,0.8446911573410034,0.2996813,0.92614466,2.0,18.6279354095459,3.0
1,BraTS-PED-00096-000-t1c,0.0,0.0022039672,0.9341817,16.169382095336914,32.06243896484375,3.0
1,BraTS-PED-00112-000-t1c,0.866029679775238,0.8963894,0.9419287,2.2360680103302,6.324555397033691,2.4494898
1,BraTS-PED-00115-000-t1c,0.4828738570213318,0.1531373,0.59420896,22.191143035888672,30.074068069458008,33.580482
1,BraTS-PED-00116-000-t1c,0.5235602259635925,0.38541484,0.8069748,9.05538558959961,18.547237396240234,7.071068
1,BraTS-PED-00117-000-t1c,0.0,0.75500673,0.89825433,373.0,8.485280990600586,9.486833
1,BraTS-PED-00119-000-t1c,0.8494243621826172,0.8966199,0.8959452,3.741657495498657,4.123105525970459,5.656854
1,BraTS-PED-00128-000-t1c,0.0,0.00080035214,0.8667696,373.0,21.40093421936035,5.4265876
1,BraTS-PED-00136-000-t1c,0.0,0.0,0.77393866,373.0,373.0,7.8740077
1,BraTS-PED-00142-000-t1c,0.0,0.51636237,0.81232363,373.0,23.452077865600582,10.356136
2,BraTS-PED-00006-000-t1c,0.8951499462127686,0.9109761,0.67221165,1.7320507764816284,4.123105525970459,47.77185
2,BraTS-PED-00010-000-t1c,0.8901631236076355,0.5692296,0.9196752,3.1622776985168457,13.45362377166748,3.7416575
2,BraTS-PED-00019-000-t1c,1.0,0.0018201122,0.4126629,373.0,28.01785087585449,33.03709
2,BraTS-PED-00020-000-t1c,1.0,5.216348e-05,0.40868783,373.0,43.36933898925781,48.908077
2,BraTS-PED-00026-000-t1c,0.8535057902336121,0.9303513,0.9053445,2.0,3.0,7.3484693
2,BraTS-PED-00039-000-t1c,0.8082191944122314,0.085887946,0.9477534,15.23154640197754,24.04162979125977,2.236068
2,BraTS-PED-00041-000-t1c,0.7403860092163086,0.6206855,0.93651414,2.4494898319244385,4.690415859222412,2.828427
2,BraTS-PED-00048-000-t1c,0.8334560394287109,0.9017725,0.8935533,3.1622776985168457,3.605551242828369,4.0
2,BraTS-PED-00050-000-t1c,0.6607784032821655,0.3226788,0.9190071,5.656854152679443,14.764822959899902,3.0
2,BraTS-PED-00052-000-t1c,0.3060078620910644,0.16587265,0.8302212,7.810249805450439,11.48912525177002,4.0
2,BraTS-PED-00064-000-t1c,0.8346222639083862,0.33486918,0.89454424,2.4494898319244385,15.65247631072998,4.1231055
2,BraTS-PED-00069-000-t1c,0.6170483231544495,0.0440669,0.75898343,4.690415859222412,25.01999282836914,9.433981
2,BraTS-PED-00072-000-t1c,0.6427717804908752,0.10901905,0.8768581,3.1622776985168457,16.881942749023438,3.0
2,BraTS-PED-00100-000-t1c,0.7125810980796814,0.28661308,0.87180734,4.898979663848877,19.54225730895996,5.3851647
2,BraTS-PED-00102-000-t1c,0.8789552450180054,0.5817272,0.9017353,2.4494898319244385,16.309507369995117,5.7445626
2,BraTS-PED-00103-000-t1c,0.8861262202262878,0.71520656,0.8973206,1.4142135381698608,8.306623458862305,36.240166
2,BraTS-PED-00124-000-t1c,0.8719432950019836,0.2839241,0.6172606,14.491376876831056,17.492855072021484,23.280893
2,BraTS-PED-00126-000-t1c,0.7465651631355286,0.4696211,0.85804355,4.123105525970459,15.0,7.813425
2,BraTS-PED-00127-000-t1c,0.0,0.0,0.6199974,373.0,373.0,19.339079
2,BraTS-PED-00138-000-t1c,0.417989432811737,0.01097238,0.8078108,8.306623458862305,29.883106231689453,11.445523
3,BraTS-PED-00062-000-t1c,0.0,0.091360256,0.76718944,373.0,21.283796310424805,6.164414
3,BraTS-PED-00080-000-t1c,0.8931001424789429,0.4637542,0.86134636,4.123105525970459,16.401220321655273,4.690416
3,BraTS-PED-00082-000-t1c,0.0,0.39845476,0.93481463,373.0,11.171350479125977,2.236068
3,BraTS-PED-00085-000-t1c,0.0,0.00260334,0.9287291,17.882905960083008,32.07802963256836,64.73948
3,BraTS-PED-00087-000-t1c,0.6929316520690918,0.40308735,0.95477414,2.8284270763397217,17.11724281311035,1.7320508
3,BraTS-PED-00097-000-t1c,0.0,0.09907337,0.8293136,33.3166618347168,15.16575050354004,28.337255
3,BraTS-PED-00101-000-t1c,0.8557701110839844,0.7260139,0.9636879,2.4494898319244385,6.480740547180176,1.4142135
3,BraTS-PED-00104-000-t1c,0.0,0.0,0.7216908,373.0,373.0,54.16641
3,BraTS-PED-00105-000-t1c,0.193211480975151,0.030681927,0.794401,11.445523262023926,31.708829879760746,8.062258
3,BraTS-PED-00106-000-t1c,1.0,0.76123196,0.9381384,373.0,4.242640495300293,2.0
3,BraTS-PED-00108-000-t1c,0.8003290891647339,0.33399796,0.87657297,1.4142135381698608,24.166091918945312,35.623028
3,BraTS-PED-00110-000-t1c,0.903088927268982,0.9539671,0.95221984,2.4494898319244385,2.2360680103302,2.236068
3,BraTS-PED-00113-000-t1c,0.3149365484714508,0.5011959,0.7448183,14.866068840026855,20.904544830322266,17.0
3,BraTS-PED-00114-000-t1c,0.8428852558135986,0.78294724,0.9042649,2.4494898319244385,6.0,4.994944
3,BraTS-PED-00122-000-t1c,1.0,0.035867594,0.6416631,373.0,20.413227081298828,8.124039
3,BraTS-PED-00125-000-t1c,0.1254705190658569,0.0067924657,0.9108457,26.00960922241211,34.89985656738281,5.3851647
3,BraTS-PED-00132-000-t1c,0.7422459721565247,0.28005558,0.7365506,9.43398094177246,28.75847053527832,4.690416
3,BraTS-PED-00140-000-t1c,0.135454460978508,0.4027391,0.94840413,15.809796333312988,17.0587215423584,2.236068
3,BraTS-PED-00167-000-t1c,0.6920937895774841,0.10109975,0.6761426,3.0,16.79433822631836,100.06798
3,BraTS-PED-00171-000-t1c,1.0,0.49012753,0.85233235,373.0,16.278820037841797,3.1622777
4,BraTS-PED-00003-000-t1c,0.8827873468399048,0.85965115,0.87956,3.605551242828369,4.582575798034668,6.4031243
4,BraTS-PED-00004-000-t1c,0.2089608013629913,0.45940444,0.70555454,18.055469512939453,21.0,15.652476
4,BraTS-PED-00032-000-t1c,0.0186335407197475,7.547929e-05,0.18950675,11.747340202331545,85.55523681640625,38.5908
4,BraTS-PED-00042-000-t1c,0.6687952280044556,0.89430714,0.92747974,3.605551242828369,13.0,12.369317
4,BraTS-PED-00044-000-t1c,0.4763414561748504,0.46221787,0.78858066,22.494443893432617,25.913311004638672,18.973665
4,BraTS-PED-00047-000-t1c,0.5710045099258423,0.3606578,0.90748346,11.045360565185549,25.15949058532715,4.472136
4,BraTS-PED-00057-000-t1c,0.6563130021095276,0.6848937,0.92091614,4.123105525970459,15.0,3.1622777
4,BraTS-PED-00070-000-t1c,0.4333585202693939,0.57126176,0.913469,6.0,10.24695110321045,4.472136
4,BraTS-PED-00098-000-t1c,0.0,0.30131713,0.93745285,33.546234130859375,19.02629852294922,2.4494898
4,BraTS-PED-00099-000-t1c,0.152125284075737,0.00053080724,0.1857085,75.3425521850586,48.02082824707031,20.322401
4,BraTS-PED-00107-000-t1c,1.0,0.039521836,0.9449364,373.0,22.113344192504883,1.4142135
4,BraTS-PED-00118-000-t1c,0.3656044602394104,0.23405424,0.9472573,19.442222595214844,24.494897842407227,4.8989797
4,BraTS-PED-00121-000-t1c,0.7732459902763367,0.39662138,0.8882016,13.388418197631836,20.615528106689453,7.0
4,BraTS-PED-00129-000-t1c,0.5622683763504028,0.72460794,0.86289126,9.05538558959961,10.24695110321045,76.71375
4,BraTS-PED-00130-000-t1c,0.0,0.0,0.78052473,373.0,373.0,54.58754
4,BraTS-PED-00133-000-t1c,0.69944828748703,0.4683948,0.88560283,2.8284270763397217,8.83176040649414,4.1231055
4,BraTS-PED-00134-000-t1c,0.7800127863883972,0.37667003,0.88885546,3.605551242828369,18.466184616088867,3.6055512
4,BraTS-PED-00137-000-t1c,0.7732459902763367,0.39662138,0.8882016,13.388418197631836,20.615528106689453,7.0
4,BraTS-PED-00139-000-t1c,0.7440938353538513,0.30635327,0.874139,57.1699104309082,48.36320877075195,26.615767
0,AVERAGE,0.6423046603798866,0.40868662980000003,0.831216867,119.78333969116211,34.482796943187715,13.379368485
1,AVERAGE,0.3573841130360961,0.30096150182634995,0.7536770190000001,156.37088136672975,73.404296708107,13.270709895
2,AVERAGE,0.7298134595155716,0.367267311084,0.797499629,60.309535932540896,34.38221127986908,14.13387693
3,AVERAGE,0.5095758974552155,0.34325256413500005,0.846894993,119.27393810153008,35.80798698663712,17.853127535
4,AVERAGE,0.5140126008344325,0.39669274487,0.8061222010526317,55.49704957008362,42.855373432761745,16.464564721052632
ALL,AVERAGE,0.5509878992281779,0.3630355786811818,0.8070918381818183,102.71917013808934,44.199979127055464,15.005741278787879
